Wavelength,Flux,BestFit,SkyFlux
4314.197,8.279,8.366,5.693
4315.191,8.791,9.199,6.303
4316.184,11.230,9.741,6.453
4317.178,12.815,11.651,6.563
4318.173,12.671,13.125,6.702
4319.167,14.283,13.287,6.447
4320.162,12.763,12.694,6.354
4321.157,10.879,12.497,6.636
4322.152,11.719,13.042,6.615
4323.147,12.114,12.399,5.807
4324.143,10.823,10.971,5.054
4325.138,8.626,9.015,4.737
4326.134,5.830,6.816,4.595
4327.131,5.946,5.568,5.009
4328.127,7.819,7.044,5.465
4329.124,9.819,10.337,5.472
4330.121,12.130,12.412,5.284
4331.118,13.770,12.988,5.358
4332.115,12.719,13.004,5.574
4333.113,12.720,13.211,5.488
4334.111,13.834,13.588,5.303
4335.109,13.861,13.822,5.408
4336.107,14.269,14.216,5.685
4337.106,13.138,13.821,5.527
4338.104,12.403,12.103,5.122
4339.103,10.459,10.049,4.850
4340.103,10.937,9.398,4.823
4341.102,9.536,9.039,4.862
4342.102,10.147,9.565,4.965
4343.102,12.967,11.071,5.056
4344.102,12.849,12.191,4.981
4345.102,12.652,12.147,4.989
4346.103,13.440,12.106,5.339
4347.104,13.099,12.643,5.727
4348.105,13.237,13.024,6.025
4349.106,14.094,13.436,6.429
4350.108,14.707,14.071,6.484
4351.109,12.667,14.092,6.000
4352.111,11.834,12.062,5.210
4353.114,9.571,9.343,4.905
4354.116,10.119,9.116,5.217
4355.119,10.635,10.469,5.288
4356.122,11.279,11.599,5.663
4357.125,12.877,12.040,8.832
4358.128,13.570,12.747,17.187
4359.132,14.716,13.148,25.925
4360.136,15.215,12.521,26.843
4361.140,12.374,11.966,18.977
4362.144,14.807,12.670,10.733
4363.149,14.354,13.875,8.308
4364.153,17.845,13.471,7.003
4365.158,14.491,13.719,6.345
4366.164,14.329,14.407,6.337
4367.169,14.439,14.305,5.910
4368.175,14.630,13.262,5.786
4369.181,12.633,12.326,5.958
4370.187,11.550,12.557,5.809
4371.193,12.464,12.762,5.697
4372.200,12.851,12.509,5.713
4373.207,12.515,12.394,5.543
4374.214,11.767,12.112,5.414
4375.221,12.170,11.135,5.633
4376.229,10.677,9.938,5.749
4377.236,9.960,9.689,5.841
4378.244,9.822,10.845,6.175
4379.253,11.516,11.980,5.921
4380.261,12.066,12.040,5.561
4381.270,10.521,11.345,5.839
4382.279,9.636,10.798,5.805
4383.288,8.264,8.868,5.236
4384.297,5.732,6.155,4.547
4385.307,4.579,4.659,4.368
4386.317,5.789,5.777,4.746
4387.327,8.481,8.750,5.221
4388.337,10.234,10.801,5.331
4389.348,11.345,11.337,5.194
4390.359,10.732,10.876,5.102
4391.370,9.927,10.591,5.064
4392.381,11.439,11.116,5.159
4393.392,12.835,12.062,5.412
4394.404,13.085,12.372,5.398
4395.416,11.568,12.133,5.300
4396.428,11.379,11.951,5.181
4397.441,13.573,12.566,5.378
4398.453,15.282,13.764,5.603
4399.466,16.068,14.391,5.529
4400.479,14.915,13.375,5.559
4401.493,12.145,11.978,5.828
4402.506,11.377,11.698,6.021
4403.520,11.266,11.881,5.993
4404.534,11.233,10.739,5.790
4405.549,8.098,8.101,5.605
4406.563,6.835,6.776,6.081
4407.578,7.729,8.289,6.394
4408.593,8.986,9.476,6.409
4409.608,10.544,10.192,6.562
4410.624,12.308,11.565,6.842
4411.639,13.817,13.526,6.872
4412.655,14.868,14.371,6.850
4413.671,14.168,14.498,7.054
4414.688,12.530,13.454,6.786
4415.704,11.291,11.310,6.496
4416.721,9.345,9.532,6.652
4417.738,9.237,9.911,6.670
4418.756,13.673,12.491,6.410
4419.773,16.260,14.126,6.498
4420.791,16.405,14.932,6.995
4421.809,15.420,15.097,7.132
4422.827,14.135,14.220,6.636
4423.846,12.807,12.807,6.251
4424.865,11.918,12.644,6.244
4425.884,11.647,12.730,6.190
4426.903,10.373,11.735,6.199
4427.922,11.135,11.182,6.413
4428.942,11.968,11.895,6.311
4429.962,14.061,13.068,6.246
4430.982,13.769,13.236,6.060
4432.003,13.218,12.773,6.077
4433.023,14.639,13.680,6.399
4434.044,13.315,14.055,6.430
4435.065,10.242,12.605,5.984
4436.086,9.142,10.276,5.490
4437.108,9.692,9.562,5.565
4438.130,11.576,11.507,6.074
4439.152,14.947,14.016,6.547
4440.174,16.492,15.629,6.562
4441.197,15.517,15.597,6.420
4442.219,13.601,14.131,6.259
4443.242,11.173,12.547,5.896
4444.266,12.103,11.919,5.726
4445.289,12.775,12.961,6.117
4446.313,15.673,14.574,6.497
4447.337,15.628,15.472,6.423
4448.361,14.531,15.238,5.779
4449.385,14.926,14.721,5.423
4450.410,16.692,15.030,5.539
4451.435,16.340,14.890,5.639
4452.460,14.158,14.590,5.475
4453.485,14.281,14.325,5.476
4454.511,11.839,13.238,5.070
4455.536,10.932,10.474,4.649
4456.562,8.370,8.977,4.866
4457.589,9.716,9.502,4.904
4458.615,11.058,10.686,4.821
4459.642,10.607,11.324,5.037
4460.669,11.349,11.221,5.101
4461.696,10.542,10.947,4.955
4462.724,11.267,10.500,4.835
4463.751,12.201,11.420,4.852
4464.779,13.731,13.271,5.048
4465.808,15.629,14.522,5.370
4466.836,14.486,14.378,5.450
4467.865,14.954,13.942,5.454
4468.893,14.464,14.302,5.643
4469.923,13.558,14.276,5.471
4470.952,14.842,14.012,5.150
4471.982,14.410,14.294,5.333
4473.011,15.871,15.220,5.489
4474.041,16.142,15.869,5.665
4475.072,16.203,16.507,5.877
4476.102,16.044,16.040,6.069
4477.133,14.523,15.582,6.020
4478.164,15.778,16.137,5.831
4479.195,17.633,17.186,5.641
4480.227,16.630,16.915,5.430
4481.259,16.997,15.288,5.161
4482.290,14.805,13.664,5.097
4483.323,11.529,12.942,5.240
4484.355,14.730,13.692,5.436
4485.388,15.698,15.475,5.703
4486.421,16.732,16.626,5.900
4487.454,17.374,17.070,5.811
4488.487,16.825,16.943,5.661
4489.521,16.369,15.955,5.345
4490.555,15.799,14.541,5.154
4491.589,14.960,13.901,5.246
4492.623,14.172,14.902,5.701
4493.658,14.381,15.995,5.927
4494.693,14.883,15.847,5.853
4495.728,14.097,14.392,5.717
4496.763,13.420,13.209,5.720
4497.799,13.084,13.653,6.051
4498.834,13.073,15.029,6.096
4499.870,15.065,16.446,6.097
4500.907,17.052,16.945,6.072
4501.943,16.710,16.525,5.652
4502.980,16.570,16.123,5.565
4504.017,15.838,16.681,5.946
4505.054,19.856,17.974,6.096
4506.091,21.184,18.541,5.951
4507.129,18.832,18.378,6.081
4508.167,17.123,18.080,6.218
4509.205,17.125,17.799,6.088
4510.244,18.087,17.722,5.877
4511.282,17.784,18.268,5.823
4512.321,18.004,17.951,5.941
4513.360,17.484,17.186,6.010
4514.400,16.517,16.408,5.709
4515.439,14.906,16.179,5.578
4516.479,15.267,16.642,5.483
4517.519,16.168,16.963,5.543
4518.559,15.707,16.604,5.558
4519.600,15.893,15.879,5.568
4520.641,15.969,16.472,5.757
4521.682,18.133,17.873,5.978
4522.723,19.371,18.168,6.121
4523.765,17.766,16.920,6.044
4524.806,16.631,16.301,5.780
4525.848,16.576,16.098,5.659
4526.891,15.426,15.294,5.665
4527.933,12.538,13.664,5.780
4528.976,11.116,12.151,5.821
4530.019,11.909,12.071,5.649
4531.062,12.242,12.587,5.541
4532.105,13.087,13.389,5.804
4533.149,12.435,14.090,6.117
4534.193,14.021,14.025,6.010
4535.237,12.980,12.790,5.801
4536.282,10.887,11.252,5.828
4537.326,11.378,11.935,6.040
4538.371,14.305,15.044,6.209
4539.416,17.238,17.643,6.447
4540.462,17.786,17.935,6.263
4541.507,16.707,16.611,5.885
4542.553,16.491,16.000,5.946
4543.599,17.653,16.781,6.509
4544.645,18.858,17.348,6.627
4545.692,15.705,16.571,6.669
4546.739,16.818,15.479,6.457
4547.786,15.586,15.540,6.289
4548.833,15.087,16.097,6.553
4549.881,15.197,15.418,6.018
4550.928,16.744,15.398,5.637
4551.976,17.084,16.173,5.863
4553.025,17.052,16.652,5.952
4554.073,17.114,16.228,6.041
4555.122,16.284,15.690,6.133
4556.171,15.296,15.019,5.892
4557.220,15.429,15.353,5.513
4558.270,16.895,16.759,5.679
4559.319,18.576,18.309,6.155
4560.369,19.014,18.909,6.087
4561.419,18.730,18.511,5.926
4562.470,19.059,18.764,5.970
4563.520,20.350,18.677,5.911
4564.571,18.188,18.178,6.004
4565.623,16.396,17.240,5.932
4566.674,16.764,16.467,5.585
4567.726,18.005,17.401,5.484
4568.777,20.300,18.625,5.713
4569.830,20.326,19.267,5.837
4570.882,18.596,18.862,5.844
4571.935,17.456,17.489,5.748
4572.987,16.361,16.299,5.763
4574.040,17.389,17.155,5.947
4575.094,19.952,18.892,5.835
4576.147,20.663,19.104,5.492
4577.201,19.537,18.683,5.823
4578.255,19.045,18.406,5.896
4579.310,18.281,18.008,5.822
4580.364,16.479,17.007,6.034
4581.419,15.535,15.320,6.103
4582.474,15.884,15.066,5.879
4583.529,17.348,16.218,5.650
4584.585,19.658,17.512,5.860
4585.640,17.645,17.532,5.843
4586.696,15.929,15.986,5.634
4587.753,16.569,15.442,5.597
4588.809,16.717,17.053,5.576
4589.866,20.124,18.782,5.672
4590.923,20.888,19.315,5.688
4591.980,17.858,18.685,5.578
4593.038,17.817,17.395,5.152
