element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
3He,1,"=""""","=""""","=""7485.3062193""","=""0.0000007""","=""""","=""""",,"=""[195249.75036670]""","=""[196585.701055558]""","=""1s.6d""","=""3D""","=""3""","=""1s.8f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7485.3083387""","=""0.0000007""","=""""","=""""",,"=""[195249.75074496]""","=""[196585.701055558]""","=""1s.6d""","=""3D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7485.3154623""","=""0.0000007""","=""""","=""""",,"=""[195249.75036670]""","=""[196585.699405907]""","=""1s.6d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7485.3175817""","=""0.0000007""","=""""","=""""",,"=""[195249.75074496]""","=""[196585.699405907]""","=""1s.6d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7485.3214908""","=""0.0000007""","=""""","=""""",,"=""[195249.75036670]""","=""[196585.698329969]""","=""1s.6d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7485.3248867""","=""0.0000007""","=""""","=""""",,"=""[195249.75036670]""","=""[196585.697723870]""","=""1s.6d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7485.3270061""","=""0.0000007""","=""""","=""""",,"=""[195249.75074496]""","=""[196585.697723870]""","=""1s.6d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7485.3482066""","=""0.0000007""","=""""","=""""",,"=""[195249.75621075]""","=""[196585.699405907]""","=""1s.6d""","=""3D""","=""1""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""""",
He,1,"=""""","=""""","=""7488.8888226""","=""0.0000006""","=""""","=""1.3321e+05""",AAA,"=""[195260.77050808]""","=""[196596.082092602]""","=""1s.6d""","=""1D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7488.8980792""","=""0.0000006""","=""""","=""2.433e+00""",AA,"=""[195260.77050808]""","=""[196596.080442094]""","=""1s.6d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7488.9075123""","=""0.0000006""","=""""","=""3.939e+04""",AA,"=""[195260.77050808]""","=""[196596.078760123]""","=""1s.6d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7489.2223118""","=""0.0000006""","=""""","=""""",,"=""[195250.44893141]""","=""[196585.701055558]""","=""1s.6d""","=""1D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7489.2315644""","=""0.0000006""","=""""","=""""",,"=""[195250.44893141]""","=""[196585.699405907]""","=""1s.6d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7489.2409987""","=""0.0000006""","=""""","=""""",,"=""[195250.44893141]""","=""[196585.697723870]""","=""1s.6d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,"=""""","=""""",
Al,2,"=""""","=""""","=""7491.2""","=""1.0""","=""""","=""9.70e+05""",B,"=""144941.10""","=""146276.0""","=""3s.9p""","=""1P*""","=""1""","=""3s.9d""","=""1D""","=""2""",,"=""T6298c4""","=""""",
N,1,"=""""","=""""","=""7495.06""","=""0.10""","=""""","=""7.15e+05""",D+,"=""109926.661""","=""111260.873""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
H,1,"=""""","=""""","=""7495.087""","=""0.007""","=""""","=""1.6635e+03""",AAA,"=""107965.0568""","=""[109299.2642]""","=""8""","=""""","=""""","=""17""","=""""","=""""",,"=""T8637""","=""""",
He,1,"=""""","=""""","=""7497.44817852""","=""0.00000011""","=""""","=""9.076e+03""",AA,"=""[195262.424216836]""","=""[196596.211361727]""","=""1s.6f""","=""3F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.45051385""","=""0.00000011""","=""""","=""1.3311e+04""",AAA,"=""[195262.424216836]""","=""[196596.210946275]""","=""1s.6f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.45719851""","=""0.00000011""","=""""","=""6.793e+03""",AA,"=""[195262.425821479]""","=""[196596.211361727]""","=""1s.6f""","=""3F*""","=""4""","=""1s.8g""","=""1G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.45776402""","=""0.00000011""","=""""","=""2.0700e+05""",AAA,"=""[195262.424216836]""","=""[196596.209656481]""","=""1s.6f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.45953384""","=""0.00000011""","=""""","=""2.8881e+02""",AAA,"=""[195262.425821479]""","=""[196596.210946275]""","=""1s.6f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.46298994""","=""0.00000011""","=""""","=""2.2643e+05""",AAA,"=""[195262.425821479]""","=""[196596.210331441]""","=""1s.6f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.46678403""","=""0.00000011""","=""""","=""7.3585e+03""",AAA,"=""[195262.425821479]""","=""[196596.209656481]""","=""1s.6f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.47387648""","=""0.00000011""","=""""","=""2.0794e+05""",AAA,"=""[195262.428373005]""","=""[196596.210946275]""","=""1s.6f""","=""3F*""","=""2""","=""1s.8g""","=""3G""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.49071711""","=""0.00000011""","=""""","=""2.1056e+05""",AAA,"=""[195262.431784358]""","=""[196596.211361727]""","=""1s.6f""","=""1F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.49305247""","=""0.00000011""","=""""","=""4.884e+03""",AA,"=""[195262.431784358]""","=""[196596.210946275]""","=""1s.6f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7497.50030272""","=""0.00000011""","=""""","=""1.207e+04""",AA,"=""[195262.431784358]""","=""[196596.209656481]""","=""1s.6f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7497.78420723""","=""0.00000011""","=""""","=""""",,"=""[195252.102961313]""","=""[196585.830329774]""","=""1s.6f""","=""3F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.78654273""","=""0.00000011""","=""""","=""""",,"=""[195252.102961313]""","=""[196585.829914329]""","=""1s.6f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.79323056""","=""0.00000011""","=""""","=""""",,"=""[195252.104566406]""","=""[196585.830329774]""","=""1s.6f""","=""3F*""","=""4""","=""1s.8g""","=""1G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.79379286""","=""0.00000011""","=""""","=""""",,"=""[195252.102961313]""","=""[196585.828624657]""","=""1s.6f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.79556606""","=""0.00000011""","=""""","=""""",,"=""[195252.104566406]""","=""[196585.829914329]""","=""1s.6f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.79902200""","=""0.00000011""","=""""","=""""",,"=""[195252.104566406]""","=""[196585.829299578]""","=""1s.6f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.80281621""","=""0.00000011""","=""""","=""""",,"=""[195252.104566406]""","=""[196585.828624657]""","=""1s.6f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.80990805""","=""0.00000011""","=""""","=""""",,"=""[195252.107117588]""","=""[196585.829914329]""","=""1s.6f""","=""3F*""","=""2""","=""1s.8g""","=""3G""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.82674120""","=""0.00000011""","=""""","=""""",,"=""[195252.110527334]""","=""[196585.830329774]""","=""1s.6f""","=""1F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.82907672""","=""0.00000011""","=""""","=""""",,"=""[195252.110527334]""","=""[196585.829914329]""","=""1s.6f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7497.83632694""","=""0.00000011""","=""""","=""""",,"=""[195252.110527334]""","=""[196585.828624657]""","=""1s.6f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,"=""""","=""""",
He,1,"=""""","=""""","=""7498.955080729""","=""0.000000017""","=""""","=""9.028e+00""",AA,"=""[195262.723082377]""","=""[196596.242205021]""","=""1s.6g""","=""3G""","=""4""","=""1s.8h""","=""1H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.956758531""","=""0.000000017""","=""""","=""6.5517e+03""",AAA,"=""[195262.723082377]""","=""[196596.241906662]""","=""1s.6g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.961484098""","=""0.000000017""","=""""","=""2.5260e+05""",AAA,"=""[195262.723082377]""","=""[196596.241066328]""","=""1s.6g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.964088658""","=""0.000000017""","=""""","=""5.002e+03""",AA,"=""[195262.724684231]""","=""[196596.242205021]""","=""1s.6g""","=""3G""","=""5""","=""1s.8h""","=""1H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.965766464""","=""0.000000017""","=""""","=""1.2739e+02""",AAA,"=""[195262.724684231]""","=""[196596.241906662]""","=""1s.6g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.968014837""","=""0.000000017""","=""""","=""2.5797e+05""",AAA,"=""[195262.724684231]""","=""[196596.241506841]""","=""1s.6g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""6""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.970492042""","=""0.000000017""","=""""","=""5.3169e+03""",AAA,"=""[195262.724684231]""","=""[196596.241066328]""","=""1s.6g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.973962885""","=""0.000000017""","=""""","=""2.4523e+05""",AAA,"=""[195262.726141773]""","=""[196596.241906662]""","=""1s.6g""","=""3G""","=""3""","=""1s.8h""","=""3H*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.977810521""","=""0.000000017""","=""""","=""2.5296e+05""",AAA,"=""[195262.727124343]""","=""[196596.242205021]""","=""1s.6g""","=""1G""","=""4""","=""1s.8h""","=""1H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.979488334""","=""0.000000017""","=""""","=""6.060e+03""",AA,"=""[195262.727124343]""","=""[196596.241906662]""","=""1s.6g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7498.984213929""","=""0.000000017""","=""""","=""5.258e+01""",AA,"=""[195262.727124343]""","=""[196596.241066328]""","=""1s.6g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""5""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.291296034""","=""0.000000017""","=""""","=""""",,"=""[195252.401837317]""","=""[196585.861174373]""","=""1s.6g""","=""3G""","=""4""","=""1s.8h""","=""1H*""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.292973959""","=""0.000000017""","=""""","=""""",,"=""[195252.401837317]""","=""[196585.860876019]""","=""1s.6g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""4""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.294230527""","=""0.000000010""","=""""","=""4.699e+00""",AA,"=""[195262.793050975]""","=""[196596.251866245]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8i""","=""1I""","=""6""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.295488463""","=""0.000000010""","=""""","=""3.6823e+03""",AAA,"=""[195262.793050975]""","=""[196596.251642570]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8i""","=""3I""","=""5""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.297699505""","=""0.000000017""","=""""","=""""",,"=""[195252.401837317]""","=""[196585.860035764]""","=""1s.6g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""5""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.298809447""","=""0.000000010""","=""""","=""2.1458e+05""",AAA,"=""[195262.793050975]""","=""[196596.251052062]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8i""","=""3I""","=""6""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.300102905""","=""0.000000010""","=""""","=""2.946e+03""",AA,"=""[195262.794095149]""","=""[196596.251866245]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8i""","=""1I""","=""6""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.300304254""","=""0.000000017""","=""""","=""""",,"=""[195252.403439079]""","=""[196585.861174373]""","=""1s.6g""","=""3G""","=""5""","=""1s.8h""","=""1H*""","=""5""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.301360843""","=""0.000000010""","=""""","=""4.9976e+01""",AAA,"=""[195262.794095149]""","=""[196596.251642570]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8i""","=""3I""","=""5""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.301982182""","=""0.000000017""","=""""","=""""",,"=""[195252.403439079]""","=""[196585.860876019]""","=""1s.6g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""4""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.302944182""","=""0.000000010""","=""""","=""2.1770e+05""",AAA,"=""[195262.794095149]""","=""[196596.251361035]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8i""","=""3I""","=""7""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.304230454""","=""0.000000017""","=""""","=""""",,"=""[195252.403439079]""","=""[196585.860476252]""","=""1s.6g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""6""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.304681833""","=""0.000000010""","=""""","=""3.1015e+03""",AAA,"=""[195262.794095149]""","=""[196596.251052062]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8i""","=""3I""","=""6""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.306691014""","=""0.000000010""","=""""","=""2.1050e+05""",AAA,"=""[195262.795042911]""","=""[196596.251642570]""","=""1s.6h""","=""3H*""","=""4""","=""1s.8i""","=""3I""","=""5""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.306707740""","=""0.000000017""","=""""","=""""",,"=""[195252.403439079]""","=""[196585.860035764]""","=""1s.6g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""5""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.309410324""","=""0.000000010""","=""""","=""2.1475e+05""",AAA,"=""[195262.795750108]""","=""[196596.251866245]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8i""","=""1I""","=""6""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.310178225""","=""0.000000017""","=""""","=""""",,"=""[195252.404896423]""","=""[196585.860876019]""","=""1s.6g""","=""3G""","=""3""","=""1s.8h""","=""3H*""","=""4""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.310668264""","=""0.000000010""","=""""","=""3.464e+03""",AA,"=""[195262.795750108]""","=""[196596.251642570]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8i""","=""3I""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.313989263""","=""0.000000010""","=""""","=""1.897e+01""",AA,"=""[195262.795750108]""","=""[196596.251052062]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8i""","=""3I""","=""6""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.314026161""","=""0.000000017""","=""""","=""""",,"=""[195252.405878980]""","=""[196585.861174373]""","=""1s.6g""","=""1G""","=""4""","=""1s.8h""","=""1H*""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.315704096""","=""0.000000017""","=""""","=""""",,"=""[195252.405878980]""","=""[196585.860876019]""","=""1s.6g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.320429671""","=""0.000000017""","=""""","=""""",,"=""[195252.405878980]""","=""[196585.860035764]""","=""1s.6g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""5""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.527827107""","=""0.000000017""","=""""","=""2.2052e+01""",AAA,"=""[195262.793050975]""","=""[196596.210331441]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8g""","=""3G""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.531623281""","=""0.000000017""","=""""","=""1.2805e+03""",AAA,"=""[195262.793050975]""","=""[196596.209656481]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8g""","=""3G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.533235711""","=""0.000000017""","=""""","=""2.511e+01""",AA,"=""[195262.795042911]""","=""[196596.211361727]""","=""1s.6h""","=""3H*""","=""4""","=""1s.8g""","=""1G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.533699851""","=""0.000000017""","=""""","=""1.2645e+03""",AAA,"=""[195262.794095149]""","=""[196596.210331441]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8g""","=""3G""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.535572338""","=""0.000000017""","=""""","=""1.3077e+03""",AAA,"=""[195262.795042911]""","=""[196596.210946275]""","=""1s.6h""","=""3H*""","=""4""","=""1s.8g""","=""3G""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.537213201""","=""0.000000017""","=""""","=""1.2823e+03""",AAA,"=""[195262.795750108]""","=""[196596.211361727]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8g""","=""1G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.542826538""","=""0.000000017""","=""""","=""2.7200e+01""",AAA,"=""[195262.795042911]""","=""[196596.209656481]""","=""1s.6h""","=""3H*""","=""4""","=""1s.8g""","=""3G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.543007849""","=""0.000000017""","=""""","=""2.075e+01""",AA,"=""[195262.795750108]""","=""[196596.210331441]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8g""","=""3G""","=""5""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.630489790""","=""0.000000010""","=""""","=""""",,"=""[195252.471808738]""","=""[196585.870836012]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8i""","=""1I""","=""6""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.631747810""","=""0.000000010""","=""""","=""""",,"=""[195252.471808738]""","=""[196585.870612342]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8i""","=""3I""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.635068777""","=""0.000000010""","=""""","=""""",,"=""[195252.471808738]""","=""[196585.870021890]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8i""","=""3I""","=""6""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.636362362""","=""0.000000010""","=""""","=""""",,"=""[195252.472852853]""","=""[196585.870836012]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8i""","=""1I""","=""6""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.637620384""","=""0.000000010""","=""""","=""""",,"=""[195252.472852853]""","=""[196585.870612342]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8i""","=""3I""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.639203652""","=""0.000000010""","=""""","=""""",,"=""[195252.472852853]""","=""[196585.870330845]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8i""","=""3I""","=""7""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.640941357""","=""0.000000010""","=""""","=""""",,"=""[195252.472852853]""","=""[196585.870021890]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8i""","=""3I""","=""6""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.642950314""","=""0.000000010""","=""""","=""""",,"=""[195252.473800487]""","=""[196585.870612342]""","=""1s.6h""","=""3H*""","=""4""","=""1s.8i""","=""3I""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.645669817""","=""0.000000010""","=""""","=""""",,"=""[195252.474507670]""","=""[196585.870836012]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8i""","=""1I""","=""6""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.646927842""","=""0.000000010""","=""""","=""""",,"=""[195252.474507670]""","=""[196585.870612342]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8i""","=""3I""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.650248823""","=""0.000000010""","=""""","=""""",,"=""[195252.474507670]""","=""[196585.870021890]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8i""","=""3I""","=""6""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.85557027""","=""0.00000006""","=""""","=""3.752e+02""",AA,"=""[195262.723082377]""","=""[196596.082092602]""","=""1s.6g""","=""3G""","=""4""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.864116487""","=""0.000000017""","=""""","=""""",,"=""[195252.471808738]""","=""[196585.829299578]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8g""","=""3G""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.867912782""","=""0.000000017""","=""""","=""""",,"=""[195252.471808738]""","=""[196585.828624657]""","=""1s.6h""","=""3H*""","=""5""","=""1s.8g""","=""3G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.869525030""","=""0.000000017""","=""""","=""""",,"=""[195252.473800487]""","=""[196585.830329774]""","=""1s.6h""","=""3H*""","=""4""","=""1s.8g""","=""1G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.869989426""","=""0.000000017""","=""""","=""""",,"=""[195252.472852853]""","=""[196585.829299578]""","=""1s.6h""","=""3H*""","=""6""","=""1s.8g""","=""3G""","=""5""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.87090677""","=""0.00000006""","=""""","=""1.3280e+02""",AAA,"=""[195262.723082377]""","=""[196596.079366013]""","=""1s.6g""","=""3G""","=""4""","=""1s.8f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.871861828""","=""0.000000017""","=""""","=""""",,"=""[195252.473800487]""","=""[196585.829914329]""","=""1s.6h""","=""3H*""","=""4""","=""1s.8g""","=""3G""","=""3""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.87277874""","=""0.00000006""","=""""","=""7.750e+01""",AA,"=""[195262.726141773]""","=""[196596.082092602]""","=""1s.6g""","=""3G""","=""3""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.873502799""","=""0.000000017""","=""""","=""""",,"=""[195252.474507670]""","=""[196585.830329774]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8g""","=""1G""","=""4""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.87431479""","=""0.00000006""","=""""","=""4.7129e+03""",AAA,"=""[195262.723082377]""","=""[196596.078760123]""","=""1s.6g""","=""3G""","=""4""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.87830552""","=""0.00000006""","=""""","=""4.8061e+03""",AAA,"=""[195262.727124343]""","=""[196596.082092602]""","=""1s.6g""","=""1G""","=""4""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""7499.879115992""","=""0.000000017""","=""""","=""""",,"=""[195252.473800487]""","=""[196585.828624657]""","=""1s.6h""","=""3H*""","=""4""","=""1s.8g""","=""3G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""7499.879297460""","=""0.000000017""","=""""","=""""",,"=""[195252.474507670]""","=""[196585.829299578]""","=""1s.6h""","=""1H*""","=""5""","=""1s.8g""","=""3G""","=""5""",,"=""""","=""""",
He,1,"=""""","=""""","=""7499.87991690""","=""0.00000006""","=""""","=""4.9993e+03""",AAA,"=""[195262.724684231]""","=""[196596.079366013]""","=""1s.6g""","=""3G""","=""5""","=""1s.8f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.88206255""","=""0.00000006""","=""""","=""5.2590e+03""",AAA,"=""[195262.726141773]""","=""[196596.080442094]""","=""1s.6g""","=""3G""","=""3""","=""1s.8f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.88811532""","=""0.00000006""","=""""","=""4.0578e+00""",AAA,"=""[195262.726141773]""","=""[196596.079366013]""","=""1s.6g""","=""3G""","=""3""","=""1s.8f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.89152335""","=""0.00000006""","=""""","=""2.5119e+02""",AAA,"=""[195262.726141773]""","=""[196596.078760123]""","=""1s.6g""","=""3G""","=""3""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.89364211""","=""0.00000006""","=""""","=""1.228e+02""",AA,"=""[195262.727124343]""","=""[196596.079366013]""","=""1s.6g""","=""1G""","=""4""","=""1s.8f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""7499.89705015""","=""0.00000006""","=""""","=""2.948e+02""",AA,"=""[195262.727124343]""","=""[196596.078760123]""","=""1s.6g""","=""1G""","=""4""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
